-122.2898913, 37.828393, "Startbucks in Target Store; 1"
-117.428323, 34.626705, "Starbucks Adelanto - Palmdale and Hwy 395; Adelanto; 14136 US Hwy 395; Adelanto; California 923016700 >+(760) 530-9252; 2"
-118.757123, 34.160601, "Starbucks Agoura - Agoura; 5827 Canan Road; Agoura; California 91301 >+(818) 735-0268; 3"
-118.7573407, 34.1534434, "Starbucks Agoura Hills - Vons-Agoura Hills #2001; 5671 Kanan Rd.; Agoura Hills; California 91301 >+(818) 991-2857; 4"
-122.277613, 37.788218, "Starbucks Alameda - Albertsons-Alameda #7031; 815 Marina Village; Alameda; California 94501 >+(510) 521-9113; 5"
-122.2432584, 37.7636808, "Starbucks Alameda - Park Street and Central; Alameda; 1364 Park Street; Alameda; California 94501 >+(510) 521-5815; 6"
-122.253374, 37.757095, "Starbucks Alameda - Safeway; Alameda #2708; 2227 South Shore Center; Alameda; California 94501 >+(510) 863-9000; 7"
-122.252239, 37.756665, "Starbucks Alameda - South Shore Shopping Center; 2210-J South Shore Drive; Alameda; California 94501 >+(510) 749-9595; 8"
-122.233232, 37.768082, "Starbucks Alameda - Tilden and Blanding; Alameda; 2671 Blanding Avene; Alameda; California 94501 >+(510) 337-1091; 9"
-122.2760872, 37.7796637, "Starbucks Alameda - Webster and Atlantic; Alameda; 720 Atlantic Avenue; Alameda; California 94501 >+(510) 337-1580; 10"
-122.0319921, 37.8492618, "Starbucks Alamo - Las Trampas and Danville- Alamo; 3225 Danville Boulevard; Alamo; California 94507 >+(925) 362-9568; 11"
-122.0337633, 37.8501358, "Starbucks Alamo - Safeway-Alamo #962; 200 Alamo Plaza; Alamo; California 94507 >+(925) 820-8022; 12"
-122.307912, 37.885314, "Starbucks Albany - Target Albany T-1926; 1057 Eastshore Hwy; Albany; California 94706; 13"
-118.151909, 34.079718, "Starbucks Alhambra - Fremont Ave and Mission Rd; 1131 S Fremont Ave; Alhambra; California 91803 >+(626) 457-5234; 14"
-118.1228701, 34.0785626, "Starbucks Alhambra - Garfield and Valley; Alhambra; 1 East Valley Blvd.; Alhambra; California 918015115 >+(626) 576-1248; 15"
-118.1279578, 34.0945503, "Starbucks Alhambra - Main and 1st; Alhambra; 101 W. Main Street; Alhambra; California 91801 >+(626) 282-1171; 16"
-118.114978, 34.079014, "Starbucks ALHAMBRA - Valley and Almansor; Alhambra; 810 E VALLEY BLVD; ALHAMBRA; California 918015225 >+(626) 284-2472; 17"
-117.703127, 33.575616, "Starbucks Aliso Viejo - Aliso Viejo; 27072 La Paz Road; Aliso Viejo; California 92653 >+(949) 362-1415; 18"
-122.26393, 38.165874, "Starbucks American Canyon - American Canyon and Highway 29; 101 W American Canyon Rd; American Canyon; California 94503 >+(707) 649-2067; 19"
-122.245295, 38.171006, "Starbucks American Canyon - Napa Junction and Hwy 29; American C; 6050 Main St; American Canyon; California 94503 >+(707) 557-2705; 20"
-122.263703, 38.165849, "Starbucks American Canyon - Safeway-American Canyon #1883; 103 American Canyon Rd; American Canyon; California 94503; 21"
-117.9178412, 33.7996195, "Starbucks Anaheim - Anaheim Marriott Hotel; 700 W. Convention Way; Anaheim; California 92802; 22"
